"Date","Price","Open","High","Low","Vol.","Change %"
"05/16/1988","124.89","124.89","125.02","124.58","","0.13%"
"05/13/1988","124.73","124.73","124.77","124.40","","0.22%"
"05/12/1988","124.46","124.46","124.68","124.21","","0.00%"
"05/11/1988","124.46","124.46","124.48","124.05","","0.10%"
"05/10/1988","124.34","124.34","124.77","124.14","","-0.35%"
"05/09/1988","124.77","124.77","124.93","124.44","","0.03%"
"05/06/1988","124.73","124.73","125.04","124.53","","-0.25%"
"05/05/1988","125.04","125.04","125.04","124.40","","0.30%"
"05/04/1988","124.68","124.68","125.34","124.53","","-0.37%"
"05/03/1988","125.14","125.14","125.14","124.60","","0.28%"
"05/02/1988","124.79","124.79","125.36","124.73","","-0.23%"
"04/29/1988","125.09","125.09","125.16","124.34","","0.49%"
"04/28/1988","124.48","124.48","124.93","124.29","","-0.28%"
"04/27/1988","124.83","124.83","125.32","124.68","","-0.13%"
"04/26/1988","124.99","124.99","125.16","124.19","","0.31%"
"04/25/1988","124.60","124.60","125.09","123.99","","-0.12%"
"04/22/1988","124.75","124.75","124.87","124.17","","0.31%"
"04/21/1988","124.36","124.36","124.38","123.92","","0.12%"
"04/20/1988","124.21","124.21","124.24","123.72","","-0.03%"
"04/19/1988","124.24","124.24","124.50","123.99","","0.00%"
"04/18/1988","124.24","124.24","124.53","123.56","","0.26%"
"04/15/1988","123.92","123.92","124.19","123.62","","0.27%"
"04/14/1988","123.58","123.58","126.39","122.99","","-2.24%"
"04/13/1988","126.41","126.41","126.98","125.92","","-0.25%"
"04/12/1988","126.73","126.73","126.76","126.19","","0.33%"
"04/11/1988","126.31","126.31","126.92","125.53","","0.53%"
"04/08/1988","125.65","125.65","125.83","124.87","","0.02%"
"04/07/1988","125.63","125.63","126.12","125.32","","-0.27%"
"04/06/1988","125.97","125.97","126.39","124.68","","0.60%"
"04/05/1988","125.22","125.22","125.34","124.11","","0.89%"
"04/04/1988","124.11","124.11","124.58","123.27","","0.18%"
"04/01/1988","123.89","123.89","124.53","123.78","","-0.31%"
"03/31/1988","124.29","124.29","125.58","123.78","","-0.51%"
"03/30/1988","124.93","124.93","125.85","124.44","","-0.10%"
"03/29/1988","125.04","125.04","125.14","123.56","","1.04%"
"03/28/1988","123.75","123.75","124.97","123.68","","-1.05%"
"03/25/1988","125.07","125.07","125.97","124.93","","-0.33%"
"03/24/1988","125.48","125.48","126.78","125.38","","-0.98%"
"03/23/1988","126.73","126.73","127.17","126.63","","-0.20%"
"03/22/1988","126.97","126.97","127.34","126.68","","0.04%"
"03/21/1988","126.92","126.92","127.93","126.59","","-0.75%"
"03/18/1988","127.88","127.88","128.68","127.85","","-0.62%"
"03/17/1988","128.68","128.68","128.87","126.98","","0.94%"
"03/16/1988","127.49","127.49","127.58","127.09","","0.11%"
"03/15/1988","127.34","127.34","127.41","126.68","","0.38%"
"03/14/1988","126.86","126.86","127.34","126.34","","-0.31%"
"03/11/1988","127.25","127.25","127.93","126.98","","-0.49%"
"03/10/1988","127.88","127.88","128.39","127.60","","-0.20%"
"03/09/1988","128.13","128.13","128.24","127.64","","0.26%"
"03/08/1988","127.80","127.80","128.32","127.44","","0.03%"
"03/07/1988","127.76","127.76","128.91","127.64","","-0.64%"
